value,description,codesystem,code,iri
All,,HP,HP:0000001,http://purl.obolibrary.org/obo/HP_0000001
Abnormality of body height,Deviation from the norm of height with respect to that which is expected according to age and gender norms.,HP,HP:0000002,http://purl.obolibrary.org/obo/HP_0000002
Multicystic kidney dysplasia,"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.",HP,HP:0000003,http://purl.obolibrary.org/obo/HP_0000003
Mode of inheritance,The pattern in which a particular genetic trait or disorder is passed from one generation to the next.,HP,HP:0000005,http://purl.obolibrary.org/obo/HP_0000005
Autosomal dominant inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",HP,HP:0000006,http://purl.obolibrary.org/obo/HP_0000006
Autosomal recessive inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",HP,HP:0000007,http://purl.obolibrary.org/obo/HP_0000007
Abnormal morphology of female internal genitalia,An abnormality of the female internal genitalia.,HP,HP:0000008,http://purl.obolibrary.org/obo/HP_0000008
Functional abnormality of the bladder,Dysfunction of the urinary bladder.,HP,HP:0000009,http://purl.obolibrary.org/obo/HP_0000009
Recurrent urinary tract infections,Repeated infections of the urinary tract.,HP,HP:0000010,http://purl.obolibrary.org/obo/HP_0000010
Neurogenic bladder,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.",HP,HP:0000011,http://purl.obolibrary.org/obo/HP_0000011
Urinary urgency,"Urge incontinence is the strong, sudden need to urinate.",HP,HP:0000012,http://purl.obolibrary.org/obo/HP_0000012
Hypoplasia of the uterus,Underdevelopment of the uterus.,HP,HP:0000013,http://purl.obolibrary.org/obo/HP_0000013
Abnormality of the bladder,An abnormality of the urinary bladder.,HP,HP:0000014,http://purl.obolibrary.org/obo/HP_0000014
Bladder diverticulum,Diverticulum (sac or pouch) in the wall of the urinary bladder.,HP,HP:0000015,http://purl.obolibrary.org/obo/HP_0000015
Urinary retention,Inability to completely empty the urinary bladder during the process of urination.,HP,HP:0000016,http://purl.obolibrary.org/obo/HP_0000016
Nocturia,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.,HP,HP:0000017,http://purl.obolibrary.org/obo/HP_0000017
Urinary hesitancy,Difficulty in beginning the process of urination.,HP,HP:0000019,http://purl.obolibrary.org/obo/HP_0000019
Urinary incontinence,Loss of the ability to control the urinary bladder leading to involuntary urination.,HP,HP:0000020,http://purl.obolibrary.org/obo/HP_0000020
Megacystis,Dilatation of the bladder postnatally.,HP,HP:0000021,http://purl.obolibrary.org/obo/HP_0000021
Abnormality of male internal genitalia,An abnormality of the male internal genitalia.,HP,HP:0000022,http://purl.obolibrary.org/obo/HP_0000022
Inguinal hernia,Protrusion of the contents of the abdominal cavity through the inguinal canal.,HP,HP:0000023,http://purl.obolibrary.org/obo/HP_0000023
Prostatitis,The presence of inflammation of the prostate.,HP,HP:0000024,http://purl.obolibrary.org/obo/HP_0000024
Functional abnormality of male internal genitalia,,HP,HP:0000025,http://purl.obolibrary.org/obo/HP_0000025
